Clean_Text;Label
bhabinkamtibmas hadir giat serah blt dd desember masyarakat dampak ppkm darurat;negatif
ppkm ua besti gada pasar malam;netral
sales vaksin vaksin kemarin omicron perintah ppkm;netral
social distancing mulu ppkm;netral
rak main anak rak susun roda plastik simpan serbaguna rak kamar rak dapur cek;netral
dasar kaum adam akhir desember hilang status jones gampang ppkm;netral
tangsel terap ppkm level ekonomi sektor hotel restoran angsur pulih;positif
ppkm kota sukabumi;netral
dach bobok gich dach malam besok kanda kerja tambah cz ruang menampu;netral
jakarta libur ppkm dibatalin;netral
kabid humas polda jabar tegak disiplin prokes polisi bagi masker tengah ppkm;positif
malming ppkm;netral
chanel youtube ale tamaela jam galbay pinjol silah rapat youtube melawanpinjol ale;netral
cari video kolaborasi mama fikir potong abis dance tau doank kolaborasi ppkm;netral
menteri hormat ngiku;netral
pergi tatto ppkm plain;netral
beres ppkm mutual dom bandung nongkrong kedai;netral
langgar ppkm ppkm ubah;negatif
tahu informasi bagi ppkm wilayah jabar dasar level pikodata;positif
patroli rawan malam rangka ppkm level himbauan prokes;positif
personel brimob polda jabar tegur masyarakat pakai masker masa ppkm;positif
ppkm alas;positif
kabid humas polda jabar polisi himbau terap prokes masyarakat kerumun tengah ppkm;netral
maklum ppkm mak pelan pelan lebar sungguh sungguh;positif
jalan protokol sehat rumah desak masker jaga;positif
ppkm level batal pemda aku tunggu regulasi;netral
dok coba kritik batal ppkm level nataru;negatif
gocek iming iming kolaborasi tau kolaborasi ppkm keren;netral
dom ppkm level ppkm level gda;netral
ppkm level batal rupiah geliat;netral
award batesin ppkm wkwkwk;netral
tanggal esok rencana mo bal ktanya ppkm dimajuin tanggal ppkmnya gajadi alias suka ngeprank;netral
tahun suram chita nyangkut kek suruh bobo rumah ppkm;netral
bobok gich malam kanda kantuk besok kerja lembur kanda fokus kerja dinda;netral
taat ppkm;netral
klaster sekolah abdurrab heboh pemko pekanbaru terima nasib turun ppkm level;netral
senang mudik desa ppkm pelongg;netral
ppkm level tiada point instruksi mendagri baru libur nataru;netral
paman tito tanggal ppkm opung luhut tinggal milih;netral
plandemi jual pcr cuan masuk kantong ppkm setel langgar hak asasi manusia ibadah;negatif
ppkm;netral
ppkm islam islam mayoritas tindas persepsi kuasa non islam mino;negatif
ppkm level batal pemda aku tunggu regulasi;netral
pakai nder ketat ppkm;netral
cegah lonjak atur wajib ppkm level;positif
kesel banget baca dijatim pasutri penjara akibat rayain nikah;negatif
koramil tawangmangu jumat tanggal desember sertu joko winarto laksana;netral
koramil tawangmangu jumat tanggal desember sertu joko winarto laksana;netral
koramil tawangmangu jumat tanggal desember sertu joko winarto laksana;netral
ppkm pik nik;negatif
koramil tawangmangu jumat tanggal desember sertu joko winarto laksana;netral
ajar maaf henti benci benci sempit ruang hidup ppkm rumin;negatif
ampuh jaga jarak ppkm;netral
koramil tawangmangu tanggal desember serda eko yulianto laksana patroli;positif
koramil tawangmangu tanggal desember serda eko yulianto laksana patroli;positif
koramil tawangmangu tanggal desember serda eko yulianto laksana patroli;positif
koramil tawangmangu tanggal desember serda eko yulianto laksana patroli;positif
ampuh jaga jarak ppkm;netral
ganjil genap ppkm gajadi lesgo;netral
koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro;positif
koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro;positif
koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro;positif
koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro;positif
koramil tawangmangu tanggal desember serma handoko laksana patroli tegak disiplin pro;positif
ngendi ngendi macet ppkm teh wae;negatif
tenang gelombang muncul saat raya muslim hadap nataru ppkm terap;netral
atur ppkm longgar ubah atur ppkm;netral
ppkm level batal pemkot bandung;netral
besok ppkm;netral
sabtu wilkum kalibawang piket siang polsek kalibawang pimpin paw;netral
ppkm level labil batas virusny kegiatanya bebas batas;netral
foto tema ppkm level jethro;netral
ppkm;netral
perintah anulir terap ppkm level;netral
koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol;positif
koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol;positif
koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol;positif
koramil tawangmangu sabtu desember serda antonius laksana patroli tega disiplin protokol;positif
ppkm natura perlu hapus;netral
wkwkwk kaga ppkm tahu;netral
fakta unik kanguru pohon mantel emas tahu;netral
lihat berita libur diadain ppkm uang cair men;netral
kasi ngobrol hueueueue beneer ppkm udaaaaaah niza;netral
krna kpop hft kdg tabung krna umur muda wkwkw jalan jala;netral
zaman ppkm;netral
comeback dikit ppkm budget;netral
anies resmi teken kepgub ppkm level jakarta libur natal;netral
ppkm broo;netral
cerita ganti ges ppkm desa tari;netral
ppkm batalke ora ono prei semester luputttt;netral
sebentar ppkm gabole liar;netral
ppkm;netral
iye ntu malming ppkm rumah;netral
dasar timbang perintah batal ppkm level libur natal selu;netral
hadir boss mega win jackpot juta rupiah menang extra;netral
narasumber ilc ppkm wewenang full youtube;netral
cari bisnis jaring uang kantong pas solusi agan agan;netral
hadir boss mega win jackpot juta rupiah menang extra;netral
ppkm websitenya book appointment nurut;netral
tayang hendri satrio deddy sitorus ilc ppkm wewenang full;netral
kolaborasi ppkm;netral
sebel banget kolab ppkm jaga jarak;netral
gara-gara ppkm kemarin full tutup pantai gunungkidul mbludak;netral
oiyahh ppkm;netral
ppkm gabut;netral
ppkm;netral
maksud patuh atur perintah ppkm kakak ban;netral
dprd sayang pekanbaru ppkm level;netral
kabupaten;netral
ppkm lewaaattt;netral
jalan protokol sehat rumah desak masker;positif
ppkm level batal perintah baru atur laku periode nataru daftar atur;netral
giat woro protokol sehat aja vaksinasi sosialisasi ppkm level tanggal jan;positif
ppkm nataru patuh prokes;positif
doa jabat tobat malapetaka oknum;netral
efek psbb ppkm;netral
gektas erti nek ate ppkm;netral
nobar kait bijak ppkm natal tunggu informasi;netral
askrl bijak nataru ppkm batal ganti istilah ragu pergi;netral
update rekap data implementasi ppkm zonasi kendali tingkat rukun tetangga kalurahan;netral
laku batas giat masyarakat ppkm level periode natal nataru;positif
tiket kaga target pakai alesan ppkm level hadeh batam batam;netral
kepala staf presiden moeldoko batal ppkm level bijak gas rem presiden;netral
ppkm level batal sekolah libur disdik jabar;netral
pulang kmpung ppkm;netral
personil polsek srandakan pimpin panit samapta aiptu kusfajar sh laksana kryd giat ppkm level patrol;positif
bodoh banget mentang uang enak jidat berprilaku penjara freak;negatif
bagus ppkm;netral
ppkm ketemu galeri penuh asupan daya tahan tubuh gemes;netral
ppkm;netral
inmendagri beritaterkini beritaviral berita news newsupdate viral viraltiktok viraltwitter;netral
inmendagri beritaterkini beritaviral berita news newsupdate viral viraltiktok;netral
semenjak ppkm asik motor jogja solo saing truk krl saing;netral
ppkm level iii batal wabup wayan diar warga disiplin prokes;netral
ppkm;positif
bagus patuh atur ppkm;netral
bagus patuh atur ppkm;netral
berita hangat batal ppkm level natal syarat jalan;netral
mutasi mati lemah sifat periksa teliti meni;netral
tentu ppkm nataru hallo nawak ngerab admin info tentu ppkm nataru paham dila;netral
ihhhh ceffat kesanaaa keburu ppkm lagi binatang;netral
ppkm;netral
mumpung puasa lebaran ppkm laku;netral
atur ganti ppkm level libur nataru ruangmayamedia;netral
nulis kategori travel mudah ppkm;netral
kejar ppkm mbak;netral
ganti ppkm nataru;netral
gajadi ppkm vill;netral
sticker cermin oval stiker dinding kaca acrylic rekat wallpaper mirror kamar mandi murah cek;netral
teman butuh kuat jempol netizen adil oknum tni langgar atur ppkm den;negatif
kyai ngapunten mohon cerah referensi perintah shaf sholat rapa;netral
ppkm dicancel cari berita;netral
rakyat kesan perintah pusat level ppkm salah rakyat;netral
rakyat kesan level ppkm salah rakyat kriteria pasti;netral
ppkm level batal terap rata ksp perintah batas;netral
moga cpet hilang normal ppkm;netral
cebong lapar uang akibat ppkm gampang solusi baring jalan tol bodoh;negatif
ade ufi hilang bosan ppkm;netral
ruslan tayang naik pekanbaru pasal ppkm level;netral
pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru;netral
ruslan tayang naik pekanbaru pasal ppkm level;netral
pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru;netral
ruslan tayang naik pekanbaru pasal ppkm level;netral
pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru;netral
cerita ganti ges ppkm desa tari;netral
pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru;netral
ruslan tayang naik pekanbaru pasal ppkm level;netral
pekanbaru laku ppkm level target vaksinasi warga lansia pekanbaru;netral
ppkm cancel;netral
bekas ppkm;netral
disiplin protokol sehat ppkm wilayah camat tembuku;positif
guyz berantascovid maksimal guyz lengah viruscovid sebar deng;positif
ppkm palangkaraya;netral
malam minggu jaga warung balung cicak gara gara revitalisasi jalan kanopi warung hilang ti;netral
yhhh kemarin pemrenta ppkm tingkat sekitar tanggal dicepetin;netral
abis ppkm level bioskop tutup pecah refund reschedule;netral
gausa ppkm proyek baik jalan gali pipa lain malas;netral
kirain ppkm level iii cabut lbp fans marvel weaboo;netral
rasa ang plus ketat ppkm;netral
ppkm level batal masyarakat pilih libur libur nataru;netral
ppkm gajadi full masuk gajelas;netral
kdg kangen ppkm ketat kangen jalan jakartanya;netral
situ suap dikasusin langgar ppkm doank;negatif
desember ppkm;netral
ppkm next level mim;netral
ruwet ppkm hilang;netral
ppkm level batal puas jokowi nilai anjlok;negatif
rumor tka kirim kesini banyak mantan napi merinding;netral
langgan ppkm sepi enaaak;netral
ppkm level kemarin dibatalin ganti ppkm nataru wkwkkwkwkwkkwkwkkwkw resign wni;negatif
sosialisasi ppkm skala mikro satgas tangkal kodim pontianak dim pontianak;netral
ppkm gaiz rangin;netral
tolol jalan bikin lewatin warge situ lewatin ja;negatif
ppkm tameng politik gejolak ppkm muncul tindak mati ger;negatif
atur masuk solo nataru wakil wali kota terap ppkm datang wajib bawa sikm;positif
kodim pontianak laksana ppkm skala mikro sabtu dim pontianak;positif
dagang wisata makam karno sambut gembira batal ppkm level nataru;netral
iyaaa keren kolaborasi ppkm;netral
wakil presiden ungkap alas ppkm level periode nataru batal;netral
wakil presiden ungkap alas ppkm level periode nataru batal;netral
wakil presiden ungkap alas ppkm level periode nataru batal;netral
wakil presiden ungkap alas ppkm level periode nataru batal;netral
kirain ppkm level iii cabut lbp fans marvel weaboo;netral
ilc ppkm wewenang youtube;netral
ppkm level nataru batal indonesiasehatindonesiahebat bersatulawancovid negeripulihdenganvaksin;positif
ppkm level nataru batal sekolah guru libur;netral
park zoo kebun binatang lembang kabupaten bandung barat jabar laku prokes ketat;positif
wisata gunungkidul kunjung desember;netral
jam korea ppkm bahasa ppkm;netral
bangsat kopit libur islam maulid nabi saw geser ppkm reuni aksi dilar;netral
ppkm longgar jalan medan asik;netral
kith kith ppkm;netral
bijak gas rem ppkm level jelang libur nataru batal sesuai kembang data kini;netral
moeldoko ppkm level batal presiden longgar tekan prokes;positif
ppkm kaga pakai masker;negatif
semenjak ppkm batas alhamdulillah kali daftar kuota;positif
jaga jarak ppkm;positif
anev minggu sitkamtibmas kembang cepat vaksinasi ppkm mikro cuaca ekstrem;positif
kaya jam nder jam mentok korea ppkm jam kst gaboleh keramaiam;positif
libur ppkm level nataru;netral
koramil karangpandan patroli ppkm level tugas pp;netral
koramil karangpandan patroli ppkm level tugas pp;netral
koramil karangpandan patroli ppkm level tugas pp;netral
qur benar qur perintah erat tali silaturahmi batas pakai;netral
sertu rohmad ppkm level sisir gedung fatimah;netral
pns karyawan bumn libur nataru liburnataru natal;netral
gera vaksin gencar perintah salah nilai pemerinta;negatif
ppkm level batal natal perintah siap posko sekat;positif
gajadii ppkm adaa cutber kann;netral
natal warga kota patuh protokol himbauan pemerin;positif
syg ppkm maaf kudet;netral
liga libur umum laku ppkm level ppkm kadung;netral
ppkm level batalin;netral
menang apaa ppkm kepada nangiss;netral
pakai sony limbah jepang xs renggut ganas ppkm;netral
giat patroli rutin kapal pol viii dit polairud polda jabar wilayah air eret indramayu kesem;positif
menteri negeri mendagri tito karnavian terbit atur klik;netral
kodim blitar laksana operasi yustisi ppkm humanis;positif
wujud ppkm level polres tulungagung satgas intens gelar patroli gabung news;positif
netijen yaps janlup doi bawa bkin ppkm level;netral 
polsek mojoroto bktm kel dermo aiptu suhartono sambang posko ppkm mikro himbauan prokes;netral
ppkm;netral 
kolaborasi panggung lanjut endingnya panggung;netral 
ksp moeldoko batal laku batas giat masyarakat ppkm level bijak;positif
untung konsep ppkm alias lemes gabung;netral
balik batal ppkm level presiden joko widodo tekan terap;negatif
ppkm gigi mnyet;netral
ppkm level batal kadin dampak positif sektor terbang;netral
puncak ppkm dagang rela nginep penjara gara gara sanggup bayar tebus dagang;negatif
polsek bukit batu ppkm skala mikro asistensi terap prokes resepsi nikah;positif
ppkm pergi yng vaksin capai yng tentu cbut;netral
toxic maskulinity obrol tongkrong sexist akhr didik gerah komen;netral
laksana giat patroli gabung polsek tanon rangka laksana ppkm level ii batas mobilitas;positif 
ppkm level nataru batal wisata gunungkidul kunjung desember;netral 
polsek bukit batu ppkm skala mikro asistensi terap prokes resepsi nikah;positif 
yaallah ppkm;netral
kolaborasi misah ppkm;netral
luhut ppkm level nataru batal tito ppkm level nataru batal ganti judul pantesan jokowi bilang ru;netral
ohh batal ppkm;netral
tutup sebentar abis maghrib ppkm;netral
sabtu desember selesai laksana giat patrolli gabung pol;positif 
yk ppkm;netral
sadar jarang dine ppkm sen take away biasa;netral
psbb psbb transisi ppkm ppkm mikro tebal ppkm mikro ppkm darurat jamin hidup istilah;positif 
pilar apel patroli ppkm wilayah wonokromo;positif 
ppkm level nataru batal polri gelar operasi lilin;positif 
ppkm level batal wali kota kendari ingat disiplin prokes inilahcom inilahdotcom;positif 
ppkm;netral 
ppkm situ wisata aman;netral
ilc ppkm wewenang youtube;netral
cerita bicara ppkm versi nama;netral
satgas terap ppkm sesuai level kabupaten nataru;positif 
rencana ppkm level laku jelang libur nataru batal bijak gas rem presid;positif 
bicara pancasila adil negeri pancasila adil sosial rakyat;netral
ppkm laku vaksin;netral
polsek mojoroto bktm kel gayam bripka hafiz sambang posko ppkm mikro himbauan prokes sosialisasiedukasiprokes;positif 
ppkm level batal sekolah libur disdik jabar;netral
kemarin bela bain prokes ppkm dukung rezim manfaat cari uang;negatif 
ppkm gagal natal;netral
operasi yustisi gabung tni polri rangka ppkm level cegah kendali;positif 
urang tasik basa ppkm penjara dagang ge keur butuh hirup ieu jelema kieu patut dilepaskeun;netral
kabid humas polda jabar polisi hadir sosialisasi cegah latih tracer upt puskesmas ci;netral
ppkm level batal idi nilai pemda tanggungjawab cegah nataru tribun jateng;positif 
jelang ppkm nataru bupati fauzi imbau masyarakat patuh bijak perintah pdiperjuangan solidbergerak ht;positif 
ppkm selesai;netral
polsek mojoroto bktm kel bandar lor aiptu wagianto sambang posko ppkm mikro himbauan prokes;positif 
wakil presiden maruf amin perintah tetap batas giat masyarakat libur natal;positif 
tentu ppkm nataru hallo nawak ngerab admin info tentu ppkm nataru paham;netral
pijat monggo harga ppkm mahal mahal puas pijat sila dm gaymalang;netral
polsek pesantren bktm pakunden aipda didik laksana sambang himbauan tugas posko ppkm mikro;positif 
patroli himbauan tegur dagang beli pasar krempyeng kel pandean lamper;positif
gasih dagang kena sanksi gara makan ppkm penjara;negatif
polsek mojoroto bktm kel lirboyo aiptu had suwignyo sambang posko ppkm mikro himbauan prokes;positif 
survei kemenhub ppkm level batal terap juta pergi libur nataru;netral
ppkm level batal kopit pending gaess;netral 
ppkm khusus natal;netral 
sinergi lawan anggota koramil godong polsek godong sinergi gelar operasi yustisi tega ppkm le;positif 
ppkm kaum cilik remuk ora ppkm macet raumom hessss urip og ngene wae;netral 
ppkm laku natal;netral 
bandung fix jakarta fix pekanbaru fix batam lihat jadwal gonta ganti pp;netral 
ppkm;netral
ppkm level tiada point instruksi mendagri baru libur nataru;netral
efek ppkm hideo kojima;netral
ngapain ppkm level;netral
ppkm level batal idi nilai pemda tanggungjawab cegah nataru;positif
ppkm level batal ehehe;netral
perintah terap laku batas giat masyarakat ppkm level tekan;positif
unit sabhara polsek bantul laksana giat patroli dialogis himbauan ppkm sambang pes;positif 
warga taat atur laku ppkm atas vaksin lindun;positif 
perintah terap laku batas giat masyarakat ppkm level tekan;positif 
memanx kompak jajah pakai masker rapid pcr vaksin ppkm;netral 
jelang laksana laku batas giat masyarakat ppkm natal nataru meri;positif 
jelang ppkm nataru bupati fauzi imbau masyarakat patuh bijak perintah pdiperjuangan solidbergerak;positif 
libur nataru batal ppkm ppkm libur lebaran idul fitri idul adha;netral
dukung vaksinasi ppkm;positif 
kukar personel polres kukar bersam tim gabung giat ppkm level laksana giat terap sip;positif 
movie kaya selametan ramai rilis ppkm ketat;netral 
bijak ppkm laku sulit cari dapat hari masyaraka;netral 
lt vero expobandung expojogja jadwal expo krna takut bijak ppkm ubah;netral
moment emas ketemu sanak sodara lepas ppkm;positif 
ngerem uma asa ppkm level ti gayel nyarik bensin;netral 
ppkm presiden mundur ppkmhanyauntukmuslim;negatif
dukung program ppkm vaksinasi;positif 
kemarin ajak pulkam jogja gajadi gara gara ppkm monyet;negatif 
koyo ora ramai nemen wonge dok plesir timbang belonjo ora ono ppkm soale;netral 
ppkm talk malam banget udara lupa atur ingat tinggal how social;netral 
ppkm singkat poddperth khaomark;netral 
dizah pergi kemarin wiwit motor wiwit;netral 
duga anyway jurnalis kasi rangkum;netral
efek ppkm;netral
polsek benowo pantau terap atur prokes ppkm;positif 
ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal;positif 
ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal;positif 
ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal;positif
karanganyar sabtu desember sertu joko haliyanto anggota koramil tasikmadu tim ppkm mikro desa;positif 
ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal;positif 
karanganyar sabtu desember sertu joko haliyanto anggota koramil tasikmadu tim ppkm mikro desa;positif 
jakarta perintah bijak ketat aktivitas masyarakat libur natal alia;positif
karanganyar sabtu desember sertu joko haliyanto anggota koramil tasikmadu tim ppkm mikro desa;netral 
ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal;positif
ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal;positif 
ppkm level polres pulau ribu giat awas prokes cek scan barcode peduli lindung tumpang kapal;positif 
cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga;positif 
libur ppkm tanggal;netral 
cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga;positif 
cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga;positif 
cegah sebar polres pulau ribu polsek jajar himbau prokes bagi masker warga;positif 
batal pusat anies kadung teken atur ppkm level libur gubernur dikerjain rakyat;positif 
karanganyar sabtu desember sertu suharno kopda ristio pramono anggota koramil mojogedang;netral 
karanganyar sabtu desember sertu suharno kopda ristio pramono anggota koramil mojogedang;netral
karanganyar sabtu desember sertu suharno kopda ristio pramono anggota koramil mojogedang;netral
kilasgiat sabtu tugas pp jakarta camat tanjung priok laksana patroli awas batas giat;positif
operasi yustisi unsur pilar laku ppkm level pimpin kompol yusup suhadma sh pasar ik;netral
babinsa ingat warga bina terap ppkm lengkap;netral 
takut gara gara gada ppkm vax rate nurun variant months effectiveness drop;netral 
operasional situasi kondusif info sesuai kembang;netral 
halo hubung tanggap ppkm darurat giat weekend banking;netral
sinergi lawan anggota koramil godong polsek godong sinergi gelar operasi yustisi tega pp;netral 
laksana giat patroli gabung rangka laksana ppkm level ii batas mobilitas pindah masyarak;positif 
babinsa koramil singkarak ingat warga ppkm pasar tradisional lengkap;netral
ppkm panjang sampek kowe dadi bojoku;netral
jakarta laku ppkm level ada giat kerumun;negatif 
ppkm jilid;netral
edukasi prokes door door cegah babinsa koramil wirosari serda sumarsono laksana pengawasa;positif 
cvd end ppkm level;netral
lagi stress tuuh rangorang akibat ppkm level;negatif 
langgar atur ppkm suap jadi beda aparat terima;negatif 
cegah tular areal pasar babinsa koramil purwodadi sertu sunardi laksana disiplin prokes;positif 
ppkm level batal poin atur ketat libur nataru;positif 
ppkm tiada kasih libur;netral
relaksasi ppkm pergi healing trip bal batam medan kara;netral
operasi yustisi malam tim gabung koramil godong polsek godong satpolpp gelar operasi yustisi ppkm le;positif 
ppkm cabut khusus cilacap ppkm libur;netral
video ambil ppkm;netral
mpo dinar candy nepatin janji ppkm panjang doi pakai bikini pinggir jalan liat lihat;netral 
iyaa ppkm dibatalin libur januari gara gara diknas ajaa kebelet libur banget hiks;netral
oiyeee ppkm psbb psminggu ye kabariiin dooong mo ancang gue;netral 
bhabinkamtibmas desa babelan kota aipda jajang laksana sambang tokoh masyarakat pesan kamtibmas;netral
ppkm ppkm biji presiden ledak;negatif 
ppkm pemuda pemudi kurang money situation for now;netral
babinsa ajak warga patuh prokes anggota koramil tawangharjo sambang warga himbau patuh prokes ppkm lev;positif 
bhabinkamtibmas desa kedung jaya aiptu irwan laksana sambang tokoh masyarakat pesan kamtibmas;netral
wkwkwk artis coba lihat ppkm lvl gagal muktama;netral
kasihan dagang kaki plnggar ppkm jual penjara duit beda;positif 
yuk saksi acara ilc desember datuk acara kakak hana;netral
ppkm wewenang jam malam youtube indonesia lawyers club subscribe;netral
adaa natal ppkm natal;netral
pacar gdbye ppkm;netral
ppkm pesan;netral
minimalisir sebar babinsa koramil grobogan laksana disiplin prokes malam ppkm leve;positif 
tebak sidang formalitas gilir dagang ppkm jual penjara beberap;netral
sayang ppkm level ppkm level;netral
kota pekanbaru laku batas giat masyarakat ppkm level dasar kota;positif 
dprd sayang pekanbaru ppkm level kota pekanbaru laku batas giat;positif 
arah informasi apel pagi ppkm pimpin kapolsek tanjung morawa akp firdaus;netral
jujurly dok hukum kaya ppkm prokes bullshit dok maaf nakes;negatif 
prei batal mergo ppkm;netral
ahh ppkm kakak;netral
wakil presiden maruf amin perintah tetap batas giat masyarakat libur natal;positif 
ppkm level ppkm level longgar dibubuarkan;netral
situbondo satgas hunter kodim situbondo gencar apel patroli malam ppkm level wilayah kabup;positif 
bayang ukur tingkat stress level saran turun stress level;negatif 
ppkm batal pakai alas bodoh pe sebe;negatif 
ppkm laku ummat muslim ber raya;netral
ppkm level batal laku serentak indonesia desember januari pemerint;netral
beli tiket beli baju gigs gagal gara ppkm nonton gigs allah;netral
kaga ppkm;netral
luhut klaim antibodi warga ppkm level nataru oke catat rama;netral
bebb cek yampunn ppkm euy;netral
siap ppkm siap jajan;netral
sesuai ppkm natal;netral
patuh protokol ppkm cegah bersamacegahcovid disiplincegahcorona polriajakcucitangan;positif 
patuh protokol ppkm cegah bersamacegahcovid disiplincegahcorona polriajakcucitangan;positif 
libur nataru ppkm bebas mulih ndelik;netral
kabid humas polda jabar polisi hadir sosialisasi cegah latih tracer upt puskesmas cib;positif
allah jam oceh planning tinggal cari nginepnya;netral
tugas gabung ppkm kabupaten pati kodim pati polres pati tugas pp kabupaten pati laksana operasi;positif 
label snack idul fitri tenteng lebaran angpau parcel cek racunshopee ppkm;netral
besok ppkm level apa lebaran karantina rumah;netral
anjir ppkm cuq nonton dsripada nunggu;netral
